P34160|Q06142|2.575
P38079|P19145|2.575
P32793|P25652|2.575
P41800|P25358|2.575
P06105|P15790|2.575
P32790|P35198|2.575
P32558|P15790|2.575
P22216|Q03661|2.575
Q12176|Q08208|2.575
P22216|P25342|2.575
Q12176|P37838|2.575
P22216|Q07657|2.575
Q12176|P40693|2.575
P22216|P32458|2.575
Q12176|P09734|2.575
P22216|P35724|2.575
P10592|P06777|2.575
P22216|P17065|2.575
P00546|P00927|2.575
P38992|P36057|2.575
P12868|P11484|2.575
P38753|Q12242|2.575
P53919|P32905|2.575
P38992|Q04697|2.575
P53919|P46654|2.575
P35177|Q01939|2.575
P53309|P41940|2.575
P43572|Q01939|2.575
P53309|P10592|2.575
P40066|Q12019|2.575
P53309|P40150|2.575
P41318|P32864|2.575
P11484|P40354|2.575
P53252|Q3E792|2.575
P53309|P07259|2.575
P34909|P47047|2.575
P53919|O13516|2.575
P07347|P06367|2.575
P53919|P05755|2.575
P38827|Q06142|2.575
P53919|P06367|2.575
Q99314|P32337|2.575
P53919|P02407|2.575
Q99314|P40069|2.575
P53919|P14127|2.575
P53829|P47047|2.575
P53919|P07280|2.575
P33201|P24000|2.575
P00546|P32905|2.575
P33201|P04449|2.575
P46995|P05755|2.575
P38827|P39078|2.575
P46995|P11484|2.575
P38827|P53096|2.575
P53919|P07281|2.575
P38827|P38262|2.575
P46995|P10592|2.575
P49018|P39548|2.575
P17505|P00549|2.575
P38827|P40480|2.575
P00546|P05750|2.575
P38827|P39076|2.575
P32469|P32074|2.575
P38827|P53685|2.575
P32469|P41810|2.575
P38827|P12612|2.575
Q12176|P42945|2.575
P49018|P32903|2.575
P40038|P00830|2.575
P38827|P47079|2.575
P36053|P43639|2.575
P38827|P39079|2.575
P40038|P09733|2.575
P38827|P42943|2.575
Q04199|P15873|2.575
Q02256|P17076|2.575
P40024|P26784|2.575
P07347|P39516|2.575
P40024|P36105|2.575
P49018|P39003|2.575
P40038|P02557|2.575
P49018|P53176|2.575
P40024|P33750|2.575
P49018|P53174|2.575
P40024|Q12499|2.575
P53131|P10964|2.575
P39010|P33892|2.575
P49018|P53048|2.575
P40024|P40055|2.575
P36053|P38930|2.575
P40024|P06105|2.575
Q07915|P29453|2.575
P39010|P06169|2.575
Q07915|P17076|2.575
P40339|P50094|2.575
Q02256|P29453|2.575
P40339|P02994|2.575
P53131|P53883|2.575
P39010|P32905|2.575
P49018|P39540|2.575
P39010|P10592|2.575
P53131|P53742|2.575
P40024|P53875|2.575
P49018|P47185|2.575
P40024|P21954|2.575
P53131|Q12176|2.575
P40024|P38077|2.575
P53131|P38911|2.575
P39010|P11484|2.575
P53131|Q06205|2.575
P40024|P07342|2.575
P49018|P40319|2.575
P11484|P05753|2.575
P36000|P11076|2.575
P40024|P30619|2.575
P53131|P25382|2.575
P11484|P33334|2.575
P22438|P46672|2.575
P39010|Q04338|2.575
P49018|Q08986|2.575
P39010|P16521|2.575
P23202|P40302|2.575
P40339|P09733|2.575
P32466|P41800|2.575
P29295|P38011|2.575
P52489|P22133|2.575
P29295|P10664|2.575
Q12692|P40069|2.575
P28519|P26754|2.575
P53131|P38302|2.575
P29295|P26781|2.575
P53131|Q12692|2.575
P29295|P05753|2.575
P53131|P25337|2.575
P28519|P32776|2.575
P53131|P32835|2.575
P29295|P05754|2.575
P53131|P53278|2.575
Q08446|P07834|2.575
P53131|P32836|2.575
P40339|P02557|2.575
P32465|P40474|2.575
P33759|P06634|2.575
P53112|P28817|2.575
Q04225|P0C0W1|2.575
P40578|P22214|2.575
Q04225|P05750|2.575
P40578|P40107|2.575
Q04225|Q99181|2.575
P15790|Q08446|2.575
P24869|P38735|2.575
P39524|P32368|2.575
P33759|Q05022|2.575
Q12230|P32327|2.575
Q03195|P17079|2.575
Q12230|P53622|2.575
P24869|P20676|2.575
Q05050|P05756|2.575
Q03195|P53030|2.575
P53278|P05753|2.575
Q03195|P0C2I0|2.575
P53278|P40212|2.575
Q03195|P0C2H6|2.575
Q03195|P16622|2.575
Q03195|P14126|2.575
P32465|P39968|2.575
P53254|P38011|2.575
P05754|P25555|2.575
P33299|P41805|2.575
P04451|Q03532|2.575
P33299|P46654|2.575
P05754|P40217|2.575
Q03195|P10664|2.575
P38219|P17255|2.575
Q03195|P29453|2.575
P02309|Q03940|2.575
Q03195|P23248|2.575
P10664|Q04373|2.575
P40150|P17883|2.575
P32465|P11076|2.575
P10592|Q06697|2.575
P25555|O13516|2.575
P24869|Q04383|2.575
Q12186|P04147|2.575
Q03529|P33892|2.575
P26781|P25555|2.575
Q03529|P40069|2.575
P26781|P06634|2.575
Q03529|P10592|2.575
P06787|Q06440|2.575
P24869|P36006|2.575
P19735|P47017|2.575
P10591|P42945|2.575
P19735|P39517|2.575
P24869|P39083|2.575
P19735|P39682|2.575
Q03529|P11484|2.575
P06787|P60010|2.575
Q03529|P09733|2.575
P19735|P49960|2.575
Q04947|P11484|2.575
P35177|Q04226|2.575
Q03529|P02557|2.575
P38112|P05753|2.575
Q03529|P09734|2.575
P38112|P05754|2.575
P24869|P32833|2.575
P32465|P38234|2.575
P24869|P40480|2.575
P25555|P06634|2.575
P32492|P38697|2.575
P38120|P06634|2.575
P32492|P50094|2.575
Q00539|P06634|2.575
P32492|P09733|2.575
P40857|P39547|2.575
P13185|P53050|2.575
Q00539|Q06142|2.575
P13186|P47976|2.575
P05755|P25555|2.575
P13186|P40517|2.575
Q00539|P32639|2.575
P13186|Q12289|2.575
P05755|P50094|2.575
P13186|P47103|2.575
P04817|P18414|2.575
P40482|P10591|2.575
P38351|P38930|2.575
P40482|P10592|2.575
P25555|P29453|2.575
P40482|P11484|2.575
Q08963|P40968|2.575
P32783|P10592|2.575
P25555|P05756|2.575
P13186|Q07622|2.575
P46962|P25611|2.575
P13186|P40529|2.575
Q08963|Q12159|2.575
P13186|P38682|2.575
P25644|P36048|2.575
P10591|P38626|2.575
P25644|P32639|2.575
P32783|P11484|2.575
P25644|P43321|2.575
P13186|P38205|2.575
P25644|P49960|2.575
P32585|P10591|2.575
P20052|P38158|2.575
P40482|P02994|2.575
P48510|P38886|2.575
P13186|P53874|2.575
P20052|P47068|2.575
P06242|Q12692|2.575
P36160|Q12159|2.575
Q03433|P00359|2.575
Q07788|P36156|2.575
P06242|P40041|2.575
Q12071|P43568|2.575
P06242|P31386|2.575
Q12306|Q02455|2.575
P06242|P38072|2.575
Q12306|P04385|2.575
P40482|P09733|2.575
P20052|Q05568|2.575
P54839|P32324|2.575
Q12306|P23292|2.575
P06242|Q12024|2.575
Q12306|P36008|2.575
P25341|P00912|2.575
Q12306|P04801|2.575
P40069|Q12159|2.575
P53197|P19882|2.575
P25341|Q03703|2.575
P18961|P41318|2.575
P25341|Q03233|2.575
P53197|P12688|2.575
P25341|P46954|2.575
P53197|P39078|2.575
P54839|P16474|2.575
P36146|P53622|2.575
P25341|P39535|2.575
P41909|Q05521|2.575
P54839|P05737|2.575
P40475|P27825|2.575
P40069|P41805|2.575
P12695|P16474|2.575
P25341|Q12136|2.575
P07347|P38011|2.575
P25341|P38781|2.575
P38886|P40302|2.575
P40069|P0C2H6|2.575
P53278|P0C2H6|2.575
P25341|Q10740|2.575
P38622|P47137|2.575
P25341|Q04489|2.575
P38622|P21242|2.575
P54839|Q12213|2.575
P38622|P17065|2.575
P54839|P10592|2.575
P38622|Q04013|2.575
P35181|P10592|2.575
P38622|P23180|2.575
P35181|P11484|2.575
P38622|P25293|2.575
P25341|P32567|2.575
P38622|P50079|2.575
P25341|P39734|2.575
P32468|P25623|2.575
P25341|P53331|2.575
P38886|P23639|2.575
P39722|P00330|2.575
P38622|P32914|2.575
P25341|P35182|2.575
P38886|P40303|2.575
P25341|Q12366|2.575
P38622|P38205|2.575
P25341|P53899|2.575
P38886|P23724|2.575
P25341|Q03435|2.575
P38622|P30952|2.575
P54839|P40150|2.575
P38886|P23638|2.575
P39722|P10664|2.575
P38622|P40513|2.575
P25341|P40463|2.575
P38622|P42942|2.575
P25341|P11076|2.575
P38622|Q07442|2.575
P30283|P14180|2.575
P38622|P32797|2.575
P54839|P32589|2.575
P38886|P25451|2.575
P30283|P39967|2.575
P38622|P53331|2.575
P54839|P02994|2.575
P38622|P48363|2.575
P40368|P10591|2.575
P38622|Q03703|2.575
P39722|P16140|2.575
P38886|P21243|2.575
P30283|P35187|2.575
P38351|P43639|2.575
P40368|P11484|2.575
P38622|P33400|2.575
P30283|P32567|2.575
P38622|P47134|2.575
P30283|P39734|2.575
P05755|P06634|2.575
P30283|Q12391|2.575
P38622|P15274|2.575
P50085|P32905|2.575
P38622|P38755|2.575
P30283|P17065|2.575
P35177|Q05021|2.575
P32558|P19454|2.575
P38622|Q12514|2.575
P14180|P10592|2.575
P32496|P53549|2.575
P14180|P11484|2.575
P38622|P16370|2.575
Q01477|P00549|2.575
P38622|Q12391|2.575
P50085|P33442|2.575
P38622|P38703|2.575
P50085|P09733|2.575
P38622|P22139|2.575
P30283|P38277|2.575
P38622|P33203|2.575
P30283|P50090|2.575
P32562|Q12439|2.575
P26309|P32589|2.575
P38622|P40185|2.575
P30283|P31386|2.575
P38622|P06106|2.575
P30283|P32892|2.575
P38622|Q02555|2.575
P39101|P02994|2.575
P38622|Q12136|2.575
P30822|P00549|2.575
P38622|Q04472|2.575
P30822|P33892|2.575
P38622|Q12160|2.575
P30822|P15108|2.575
P38622|P39967|2.575
P32350|P06169|2.575
P38622|Q03795|2.575
P30822|P41940|2.575
P38622|Q12383|2.575
P38691|P18239|2.575
P38622|P25044|2.575
P30822|P10081|2.575
P39012|P19145|2.575
P38691|Q03559|2.575
P28707|P15790|2.575
P38691|P25657|2.575
Q12250|P53549|2.575
P38691|Q03964|2.575
P22216|P32457|2.575
P38691|P29366|2.575
