O54784|O54784
Q9CQA1|O55013
O54784|Q06507
P06332|P06240
Q924X6|P97318
P98156|P97318
P55012|Q9Z1W9
P97767|Q62231
Q155P7|P60879
P12023|P97318
Q9CZA6|Q155P7
P47708|P63011
P83917|P68433
Q9CQP2|O55013
P01865|P01837
Q04207|P25799
Q8R4E9|O88513
P28574|P01108
Q61221|P53762
O54918|P97287
Q9CQJ4|P25916
P23798|Q9QWH1
P12023|Q9EPL2
Q02248|P26231
P97496|Q3TKT4
O08785|Q9WTL8
O08785|O54943
O08785|P97784
O54943|Q9WTL8
Q9WTL8|P97784
P09803|Q02248
Q8R4A3|P51141
O88351|O88522
P25916|Q9QWH1
Q8BX09|P61965
Q9WTL8|Q9R194
O35615|P17679
P84244|P30658
Q60989|Q9JIY5
Q9QUK6|P22366
Q9CQJ4|Q9QWH1
O89110|Q64337
Q64337|P97432
Q60954|P31310
Q9CZA6|Q7TSH4
P37238|O88559
Q61730|Q9QZ06
P62193|Q8BG32
P56387|Q9WVA3
Q61285|Q61285
P06240|Q9QXK9
Q61140|P34152
P53762|P30561
P53762|Q61045
P53762|Q61079
Q61214|Q61214
Q99J45|Q99J45
Q99L88|Q61234
Q61823|Q61655
Q60876|Q8BMB3
Q9R1L5|Q61235
Q61235|Q60592
P83917|P83917
O54918|Q07440
P54763|Q62083
Q61221|Q61324
Q9QZM2|Q9QZM2
P63330|Q76MZ3
Q60954|P70321
Q60954|P50207
Q60954|P70217
Q60954|P23812
Q60954|P31311
Q60954|P09631
Q60954|P09632
Q60954|P09021
Q60954|P10284
Q60954|P31245
P97367|Q62424
Q62424|P97368
P49710|P25911
P11344|P11344
P07147|P07147
P11344|P07147
Q70KF4|Q70KF4
P33610|P20664
Q6PFR5|Q6PFR5
Q6PFR5|Q8BL97
Q02248|P27782
P39053|Q62420
Q9Z2U1|Q9Z2U0
Q9Z2U1|Q9R1P3
Q9Z2U1|P28076
Q9Z2U1|P70195
Q9Z2U1|Q60692
Q9Z2U1|O70435
O09061|Q9R1P3
O09061|O55234
O09061|Q9R1P1
O09061|O35955
O09061|P28076
O09061|P28063
O09061|P70195
O09061|Q60692
O09061|Q9R1P4
O09061|P49722
O09061|O70435
O09061|Q9Z2U1
O09061|Q9R1P0
O09061|Q9Z2U0
O09061|Q9QUM9
O09061|P99026
P62193|P46471
P62193|O88685
P62193|P54775
P62193|P62196
P62193|P62334
Q61411|Q99N57
P07091|P07091
P97333|P97333
P25799|P25799
P68136|P63261
P63087|P63088
Q64368|Q64368
Q9Z1W9|Q80UE6
Q9Z1W9|Q80YE4
Q9QUG2|Q920Q2
Q6R3M4|Q920Q2
Q9JJN0|Q920Q2
Q61216|Q61216
P31725|P27005
P31725|P31725
P27005|P27005
Q80U72|P60766
Q4VBE4|P11531
Q9CQP2|Q9CQA1
P0C0S6|P0C0S6
P41136|P41136
P41133|P41139
P56959|Q62093
P05627|P05627
P80316|P11983
P80318|P80314
P80317|P80314
P80317|P80316
Q62219|Q68FF6
O54784|Q925B0
Q9QWV4|Q9D0M5
Q8R4E9|Q60862
Q8R4E9|P97311
Q8K4K2|Q06507
O70583|Q9CQ20
Q61221|P63166
Q64127|Q61686
Q64127|P19785
Q64127|P28700
Q64127|P83917
Q64127|P11416
Q64127|Q00175
Q64127|P48281
Q61686|Q62318
Q99L88|Q9D2N4
A2ARV4|Q9D6K5
Q91ZX7|Q9WVI9
O88513|P28359
O88513|Q8K214
P47741|Q60803
P47741|P39428
Q62318|Q9QWF0
Q924N4|Q9Z1W9
Q8BX46|P52955
Q9QZR5|Q8BX46
P97762|Q99PT3
Q6PCW7|P28653
Q548P8|P28481
Q548P8|O08677
Q80WM9|P39429
Q80WM9|P70191
P27512|P70196
P42128|Q62141
P23798|Q64028
P63330|Q6P1F6
P63330|P05132
P63330|Q9R1P4
P63330|P49722
P63330|O70435
P63330|Q9Z2U1
P63330|Q9R1P0
P63330|Q9Z2U0
P63330|Q9QUM9
P63330|O09061
P63330|Q9R1P3
P63330|O55234
P63330|Q9R1P1
P63330|O35955
P63330|P28076
P63330|P28063
P63330|P70195
P63330|Q60692
P63330|P99026
P97474|Q61572
P51448|P54254
Q91WZ8|Q9D2N4
Q91WZ8|O70585
O08900|P63166
Q03267|P63166
O08900|Q9Z1F9
Q03267|P63280
Q69ZI1|P61092
Q69ZI1|Q06985
Q69ZI1|Q06986
P26339|P16014
Q9QYE9|P97479
P54763|Q8VI36
O08575|Q61321
Q60760|P46935
P63004|Q61205
P63004|Q9ERR1
P70460|Q9JJV2
Q8BGT0|O70496
Q8BGT0|P11438
P62193|P26516
P62193|O35226
P62193|O35593
P62193|Q3TXS7
P62193|Q8VDM4
P62193|P14685
P62193|Q8BJY1
P62193|Q99JI4
P62193|Q9D8W5
Q3U0V2|Q9QWL7
O54992|P02340
O35114|P17439
O35114|P17047
O88904|O35613
Q8VE28|P51141
Q99MH6|Q60838
Q99MH6|Q61062
Q8VE28|Q60838
Q8VE28|Q61062
O35846|P97496
Q64337|P62991
P13405|Q3TKT4
Q8VDN2|P97449
Q8VDN2|Q7M758
Q8VDN2|Q61847
Q5XLR9|Q8VDN2
Q99JW5|Q8VDN2
Q99JW5|Q9JIP7
Q99JW5|Q8R3G9
P68136|P16627
P68136|P26040
P97429|Q3V0K9
P97429|Q9R100
P14211|Q8QZR3
P14211|O55022
P17742|O88312
P17742|P18760
P17742|P62962
P10417|P63087
Q6ZWX6|P63087
Q64364|P63087
P30282|P62140
P13405|P63087
Q64373|P63087
P30285|P63087
P25322|P63087
P30282|P63087
P19785|P63087
P02340|P63087
P11440|P63087
Q61187|P63087
Q9JKK8|P62137
P30282|P62137
Q64364|P62137
O35942|P62137
P10417|P62137
Q62388|P62137
P63280|P15806
Q9Z1W9|Q9ESF1
Q9Z1W9|Q61699
Q61545|P20263
P19091|Q9R1E0
Q9Z0H3|P97496
Q3TKT4-2|P97496
P97496|Q61466
P62204|Q08460
P84075|Q08460
O88952|Q08460
P70444|P70444
Q80U72|P28867
P35922|P63074
P35922|O55135
P35922|P62753
Q80Z96|Q61062
Q9QYH6|Q80U04
O54724|P49817
P51637|O54724
P56546|Q4VBE4
Q4VBE4|P39087
Q9Z2D8|P14404
P12023|Q9D1T0
P12023|P14211
P12023|P35564
P12023|P12960
P12023|P13595
P12023|Q9WV18
P12023|Q8BHN3
P12023|Q810U3
P12023|Q9R0K7
P12023|Q99JH7
P12023|P04925
P12023|Q00493
Q06335|P63330
Q06335|Q9QUI0
Q06335|Q9EPK2
Q03157|Q9Z268
Q03157|Q52KR3
Q03157|Q61469
Q03157|Q9DAX2
Q9CZA6|P48725
Q9CZA6|P63168
P63044|Q155P7
Q155P7|Q9CW79
P28738|O54833
P28738|Q60737
Q8VE28|A2A5Z6
Q9WTL8|Q8BW74
Q61066|P22227
Q80Z64|P22227
P63002|Q62233
P41133|Q9Z1J1
P05627|P09025
P05627|P09631
Q61140|Q9QY53
P12023|Q8R1C9
P34902|P04351
P34902|P07750
Q8CBW3|Q02384
P14753|Q62077
P54763|Q925T6
Q811D0|Q80TG9
Q811D0|Q2WF71
Q5EBH1|Q99JI6
Q61411|P04627
P01897|A2NTY6
Q62468|Q9QZ83
P68136|P68040
Q60629|O08543
Q61411|O35904
Q61466|P02340
P27573|Q08460
O08641|Q91X43
Q9QUN3|P35991
P83941|Q8VHP8
Q64727|Q9CW46
Q8VDN2|Q8K0P6
P68136|P97429
A2BH40|Q61466
A2ARV4|Q9ERE9
A2ARV4|Q8BL58
Q924X6|Q9ERE9
P35951|P97318
Q9R269|P20152
P25446|Q9ERH7
P47741|P39429
P20334|P39428
Q9QXS6|P23242
Q8C0E5|P70196
Q924N4|Q6P9R2
Q548P8|Q9DBH5
Q6PCW7|P41731
P14873|Q8CA72
Q5EBH1|P24063
Q60598|Q8K1I7
Q03267|Q9Z1F9
P13562|Q9D1X0
P13562|Q8BL97
Q6PFR5|P13562
Q6PFR5|Q9D1X0
P62193|Q9WVJ2
P62193|Q9CX56
P63015|Q6NZQ4
Q00288|Q6NZQ4
P70288|O35846
O35846|Q9Z2D6
O35846|Q60520
O35846|O54941
Q5NBX1|Q62418
P01897|Q6P8I7
Q99NE5|Q9CZV8
Q8K0P6|P14094
Q8K0P6|Q01853
Q8K0P6|P97449
Q5XLR9|Q99JW5
Q5XLR9|P14094
Q5XLR9|Q8C3K6
Q99JW5|Q99JY9
Q99JW5|P14094
Q99JW5|P68136
O08601|Q62468
O08601|P09103
O08601|P57780
Q62468|P97328
P68136|Q5J9A9
P97429|P60710
P97429|P27773
Q9DAS9|P68136
Q9DAS9|Q8BM97
P14211|P63261
P14211|P68136
