Q21952|O76406
Q18685|Q9TZC4
P90982|Q21663
Q05062|Q9NAN2
P34691|P34709
P34708|P34709
Q9XTY6|Q19266
Q21921|Q20655
Q17635|O76406
Q95QB8|Q8MNT1
Q95QB8|Q9N3R7
Q95QB8|O76406
Q8MNT1|Q9N3R7
Q8MNT1|O76406
Q21952|Q9N3R7
Q21952|Q95QB8
O16850|Q17941
Q2PJ68|O16850
Q20402|Q9XTF3
O61707|Q17877
O16850|Q9XTG7
P30429|P41958
Q95017|Q95017
Q967F4|O44326
Q10666|Q10953
Q9U2Q9|O62090
O02219|G5EGD2
Q10666|Q18825
Q10953|Q9U9Y8
Q9U9Y8|Q10666
P41958|O61667
Q17796|O01498
Q18825|O62090
Q21227|O62090
Q8I100|P91857
Q10666|Q9XVI2
Q0G819|Q9U1S7
O45408|Q19872
P55163|O44518
O02173|P34605
P50464|Q9NEZ5
Q9XTU6|P34659
Q19952|Q23543
Q18217|Q19360
O17286|O17072
Q21702|Q21702
Q23261|Q23261
Q22922|Q22922
Q21994|Q21994
P91851|P91851
Q21544|Q21544
Q19980|Q19980
P34371|P34371
Q22617|Q22617
Q8WQC9|Q8WQC9
O01820|Q20305
P91050|P91050
O02225|O02225
O44820|O18065
Q95QJ7|Q9N2V6
O16785|Q9TZC4
P50464|Q9TZC4
Q9NAN2|Q17353
O61707|Q9U226
Q19213|Q9BKS1
Q9XTG7|Q9XTG7
Q17588|P90977
Q09961|Q17588
Q95XG7|Q17588
Q9TZ70|P41846
Q18053|Q18053
Q9N410|O02219
P90953|O02219
Q10574|Q17588
Q18612|Q17588
O44712|O02219
Q18590|Q17588
Q20941|Q17588
P46581|Q17588
Q10007|Q17588
P22980|P22980
Q11094|Q17588
P34555|Q17588
Q23579|Q17588
Q20561|Q17588
Q17588|Q18277
Q19336|O16293
P50488|Q18688
P46561|P52715
P46561|P46769
Q9U2W6|Q20939
P34482|Q94131
P34482|Q20667
P34482|Q9XTB3
P34482|Q9XUB2
P34482|Q09436
P34482|Q9BKS1
Q9U2G4|Q10653
Q18748|Q22924
O62238|Q19872
O62238|Q93654
G5EDD8|Q19116
Q19872|O45603
Q18937|Q18937
Q95YF3|Q18239
Q95YF3|Q9XTB3
Q22795|O02115
Q22836|Q18239
Q22836|Q19872
Q95X55|Q19872
O16519|O44820
O16519|O45603
O02163|O02163
Q17391|O45593
P34278|Q21776
O76447|Q22257
O76447|P32744
P34470|Q20060
Q9XU12|Q20060
Q21952|Q8MNT1
Q21952|Q9N2X3
O45406|Q21952
O45406|Q17635
O45406|Q9N2X3
Q03571|Q9N5M6
O16785|Q27874
O16785|Q18685
O62479|P34402
O62479|G5ECG0
Q27874|Q9TZC4
O44960|Q21955
O45666|Q21955
G5EFV3|P91349
Q23529|Q23529
Q95Q17|P45966
Q95Q17|P16356
P16356|Q9N337
Q9N337|Q6BER6
Q17941|P34707
Q2PJ68|P34707
Q17353|P41932
P34808|Q9XTF3
Q09624|P46561
Q9NA81|P34605
Q95ZQ4|Q9XUY2
Q17400|Q23390
Q17400|O76840
Q17400|Q9NES8
P50488|Q23390
P50488|O18118
P50488|P18835
P50488|Q09983
P50488|Q22631
P50488|Q95QY1
P50488|Q20420
P50488|Q18799
P50488|Q21740
P46561|Q9U2Z0
P46561|G5ED84
P46561|Q20184
O01868|Q9U2Z0
O01868|Q9NES8
Q95QI7|O45865
Q95QI7|Q18529
Q95QI7|P29691
Q95QI7|O01868
Q95QI7|Q10943
Q95QI7|P90827
Q95QI7|Q21056
Q95QI7|P34629
Q95QI7|P34661
Q95QI7|Q9N5W1
O45799|O18118
O45799|Q23390
O45799|Q06561
O45799|O01812
O18118|Q17982
O18118|Q9XUB6
O18118|Q9U1T6
O18118|Q23390
O18118|Q9NES8
O18118|P48152
O18118|O17970
P46561|Q17571
Q22046|Q9TZ84
Q22936|Q22936
O02333|Q21591
Q20305|Q95QM1
P34420|Q18239
Q22215|Q22215
Q21501|O18064
O45408|Q9TZ84
Q23359|P90867
Q09230|Q18239
Q09230|Q9TZ84
O17982|O45603
O17982|Q8WQC9
Q95QM1|Q95QM1
O45717|O76447
Q9TZK8|Q18239
Q9TZK8|Q9TZK8
Q9TZK8|Q22936
Q9TZK8|Q95QM1
O16519|Q9TZ84
O17777|O17777
O62238|Q9U3J9
Q19672|Q19672
Q17391|P41886
Q17391|P34324
Q17391|Q9NF14
Q17391|P34371
Q17391|Q94418
Q17391|Q18776
Q17391|Q965M5
Q17391|Q18986
Q17391|O16612
Q23529|Q95NT3
Q9XTG7|P34707
Q2WF59|Q9BKS1
Q95YF3|Q19818
O17968|O61920
O18178|Q17941
O18178|Q9XTG7
Q18891|Q23288
P34260|Q23288
Q17391|P91563
O01894|Q19584
Q09490|O17968
Q17400|O16511
O17684|Q22495
P50488|Q17400
Q17400|Q17401
P14585|Q09260
P14585|G5EDU7
Q86DA5|Q22719
Q9N5M6|O62486
Q21443|Q9XTB5
Q03565|Q9XTB5
Q0G819|Q21017
Q23064|Q22799
Q23064|Q94174
Q17902|Q94174
Q23064|O45717
Q23064|P46822
Q23064|P10567
Q23064|Q94420
Q23064|G5ECD7
Q23064|P34397
Q23064|O76640
Q23064|P34420
Q23064|Q5FC73
P42573|P42573
Q9BI89|Q9XVL8
Q23146|Q9BI89
Q03565|Q19848
Q86DA5|P34766
Q86DA5|Q95PZ1
Q86DA5|Q9N341
Q86DA5|Q9UAQ6
Q86DA5|Q22021
Q86DA5|Q19720
Q17392|Q21554
Q09624|O01498
Q95NM6|Q9N3T2
Q23639|Q23457
Q23639|P91404
Q19326|P34314
P34314|G5EE37
P34314|O01427
O01427|O01427
P52478|P91133
Q09624|P28548
Q9U1S7|P28548
P18334|Q9U1S7
Q9GYJ9|D9PTP5
Q9GYJ9|Q9GYJ9
P39055|Q8I4E1
Q8I4E1|Q8I4E1
D9PTP5|D9PTP5
Q21209|G5ECG0
Q21209|Q95017
Q21209|B6VQ60
Q21209|P55853
G5EBT5|G5EBE3
G5EBE3|P34498
G5EBT5|Q21502
G5EBT5|G5EBT5
G5EBT5|P34498
G5EBE3|Q21502
G5EDU7|G5EBE3
Q967F4|Q9U308
G5EBV0|Q93758
Q20745|Q23064
Q09373|Q18235
Q09373|Q9NGT3
Q11184|Q9XVT3
Q11184|Q21556
Q11184|G5EDD8
Q11184|Q22054
Q11184|P34766
Q11184|Q18688
Q11184|P28548
Q11184|P18334
Q11184|P11141
Q11184|Q19459
Q11184|Q09958
Q11184|P47991
Q11184|P41932
Q11184|Q20655
Q11184|Q18020
Q11184|Q20000
Q11184|G5EDZ2
P08898|Q9GYI0
Q18825|Q3LRZ3
Q18239|Q3LRZ3
O62090|Q3LRZ3
Q21227|O44326
Q21227|Q18825
Q9GS00|Q9GS00
Q95PZ0|Q9N359
Q95PZ0|O01422
O01422|Q9N359
Q9GS00|Q23457
Q95PZ0|Q23457
Q9N425|Q9N359
Q9N425|Q9N425
O01422|Q9N425
Q9GS00|Q9N359
Q9GS00|P91001
O61460|G5EE01
Q10953|Q19345
Q9BLB6|Q21323
P90978|Q9BLB6
Q8I100|Q19088
Q9GYH7|P91857
P19826|Q9NEZ5
Q09476|Q9NEZ5
Q9XXM9|Q9NEZ5
Q9XXM9|P12844
Q10666|P17486
P34545|Q10666
Q9U9Y8|Q9U9Y8
B1GRL4|B1GRL4
Q95Q51|B1GRL4
Q38G54|B1Q240
Q9NHC3|Q21227
O62178|Q9GYJ9
O62305|O44164
Q22592|Q9XWQ4
Q5WRR6|Q9TW65
A7LPE4|Q95NT3
P23678|P23678
P23678|Q95QG4
O01761|Q8T3G2
Q20334|Q09665
Q9GYF1|Q09665
Q9XUN9|Q09665
O44572|Q09665
