Q24459|P42124
Q9V424|Q94517
Q9V7W9|Q05547
Q24318|Q9W542
Q961D9|P18824
Q8IRW8|P84249
P48554|Q24213
P21461|P21461
Q24218|Q9W0G1
P23572|Q9I7I0
O01382|Q9XYF4
P20659|P20659
Q9VHA0|Q9VHA0
P07207|P10041
O61735|O61734
Q03751|P11147
Q01068|Q01068
P13096|Q01070
P13096|Q01071
P13096|Q01069
P23572|P54350
Q9VT57|P25008
P13097|P13096
P10084|P13097
Q01069|Q01069
Q01071|Q01071
P13097|P10083
P24350|P16241
P42003|O61458
P15330|P15330
P11584|O44386
P07207|P28159
Q9BLX1|Q7KTI7
P48148|Q961D4
Q08012|P26675
P13098|Q01070
P13098|Q01069
P13098|P13097
P13098|P13096
P05709|O15945
O15945|Q24119
Q961B0|P18824
P18824|Q24298
O96782|O97111
Q08605|Q08605
P48598|Q9VMA3
P21461|P42282
P04197|Q9W542
O96757|Q07407
Q9V452|Q24368
Q9V444|Q24368
Q9VZF4|P54733
Q24025|P25723
Q24106|Q24306
P14003|O46036
Q9VUQ5|Q9NFU0
P04197|Q24572
P04197|O77051
Q24306|Q24475
Q961D9|Q9V9W8
P42124|Q24572
Q8IPH9|P29310
P08953|P48607
P30052|Q26366
Q24434|Q9VB08
O44224|P25159
O44224|P29617
P91682|O16844
Q9VJE5|Q01989
Q24478|Q24147
P10040|Q6NR03
P29349|Q7KIF8
P29349|Q9VZZ9
Q9XYP7|Q9XYP8
P16371|P22814
O96989|P91676
O96989|Q26454
Q24008|P06002
P00522|Q8T4F7
Q5BI37|Q24368
Q9V3Q4|Q24306
O97174|Q8WS23
Q24311|Q9W5E1
Q8MQW7|Q8WS23
Q24087|Q7YTZ1
Q86B87|P08970
Q7KIF8|P40417
P98081|Q08012
O76324|P07663
Q9NHV5|P15330
P15330|P10627
P15330|P22812
P15330|Q05652
Q95TZ9|Q3YNE8
Q7KT38|P16554
P06002|P15425
O96083|Q7KA83
P51140|P07207
Q05344|Q08605
Q94899|P16375
Q94899|P34021
P35220|P18824
O96782|P16554
P22815|P13368
Q8MQJ9|P25724
P25439|Q961D0
Q95S37|Q24087
P23257|Q9XYP8
P23257|Q9XYP7
P51140|Q9VVV9
O76216|Q8I8V0
Q9U5W9|Q8I8V0
Q7KSD8|Q8I8V0
Q24306|O02002
P48462|Q9V3C7
P12370|Q03720
Q03720|Q8MR31
Q03720|Q8IPH9
P12982|P20659
Q9U5W9|O76216
P12982|Q7JMZ1
P98081|P13368
P15330|O97102
P26686|Q9VQG0
P25724|Q9VMA3
Q960M7|Q24367
Q8MRP0|Q9NCC3
Q86BS6|O02194
Q27272|P49847
Q9VHA0|P39769
P40427|P09077
P40427|P83949
P22812|Q05652
Q24324|P11346
P04412|Q01083
O76216|Q7KSD8
Q9VWZ1|Q7KSD8
P51140|P18537
Q24008|P19334
Q24008|P13677
Q9XTN2|O18683
P91634|O18683
P19538|P23647
P16371|P91943
P51123|P20227
Q24338|Q24459
Q24338|P42124
P26017|P20227
Q24318|Q24472
Q24472|Q27368
Q24318|Q9VF04
P20193|P05205
P50535|P50534
P50535|P50536
O02193|P50535
Q8IN94|P25439
P25439|Q9VF03
P25439|O76490
P25439|Q7K012
P25439|P10987
P25439|Q24090
P16371|P14003
P35875|P50887
P29503|P10041
P51123|P47825
Q24572|P84040
P48598|O61380
P52168|Q9VPQ6
Q7KPY3|Q7KPY3
Q9VMA3|O18409
Q9VEZ5|Q9VEZ5
Q9VEZ5|Q03017
P52486|Q9W196
O61380|Q02748
P10084|Q86PA6
Q26263|Q26263
Q26263|Q86PA6
Q86PA6|Q86PA6
Q8MS31|Q9GTQ8
Q9NH88|Q9NH88
Q24279|Q7K4E2
P29349|P18475
P29349|Q08012
Q24052|P08510
P10084|P13096
P08630|P00528
P12428|P10090
P62152|P10676
P23572|P14785
P23573|P54733
P23573|Q24158
P40793|Q24190
Q24570|Q24307
Q94877|Q24158
P08181|Q24536
Q24592|Q24151
Q24592|P11346
P49869|P20153
Q24142|Q24142
P48810|P19339
P12080|O18366
P13677|P10676
P29310|P29310
P29555|P40427
Q9Y0S9|P00522
P10083|P10084
P10083|P09774
P10083|P13096
P10083|P18491
